player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Rodions Kurucs,kurucro01,2021,RS,BRK,34,16,-.6760500998306216,-10.03869593739463,-10.71474603722525,-7.298761437834696,-5.682138791577731,-12.98090022941243,-2.170785209270945,-9.785103359481298,-11.95588856875224,-.0743170460807943,-.0743170460807943,0,-.9732407297433745,-9.552965578021082,-10.52620630776446,-1.118557824090187
Rodions Kurucs,kurucro01,2021,RS,MIL,76,34,3.056077053640015,-6.006255074005961,-2.950178020365946,12.60344317205359,1.811492681721709,14.4149358537753,5.175118116151797,-4.784786479416771,.3903316367350262,.0558984518798795,.0558984518798795,0,3.954863522812611,-3.937304253324781,.0175592694878293,2.639109123784576
Kyle Kuzma,kuzmaky01,2021,PO,LAL,269,129,-5.603309461597808,2.319151427719325,-3.284158033878483,-5.26800398659445,3.709001506584753,-1.559002480009697,-5.796805349384477,2.677120424045799,-3.119684925338678,-.0252251690943525,0,-.0252251690943525,-6.430171897790772,.7770377945311966,-5.653134103259576,.5121486621965351
Kyle Kuzma,kuzmaky01,2021,RS,LAL,4059,1954,-2.168167799457343,-.2253071815872603,-2.393474981044603,-5.700151383346857,.8424194464721351,-4.857731936874722,-3.01353624183174,-.06743076242556,-3.0809670042573,-.3285255829243967,-.3285255829243967,0,-2.795053580475161,.1742027518501299,-2.620850828625031,-.4362874036556293
Anthony Lamb,lamban01,2021,RS,HOU,899,415,-1.887575667547052,-2.072860438183499,-3.960436105730551,-1.624474292918105,-.7288560396903744,-2.35333033260848,-1.892901126046855,-1.847365245253852,-3.740266371300707,-.2102668547268598,-.2102668547268598,0,-1.428361828232983,-1.890293766310748,-3.318655594543731,.2864434663036732
Jeremy Lamb,lambje01,2021,RS,IND,1630,765,2.609574515880685,.4763328932739373,3.085907409154622,2.448703724415069,-3.573444672161845,-1.124740947746776,2.73300738728922,-.3361045379458498,2.39690284934337,2.004754515577349,2.004754515577349,0,2.102898651952247,.5318566975083358,2.634755349460583,-.2059438696678721
Romeo Langford,langfro01,2021,PO,BOS,220,109,1.514942221739642,.8051927117229336,2.320134933462576,5.680448435803168,12.25582286132281,17.93627129712598,2.449808771572824,3.395675933087545,5.845484704660369,.488120261991398,0,.488120261991398,-.4702021825459708,4.086784987692731,3.61658280514676,-.971014318006243
Romeo Langford,langfro01,2021,RS,BOS,594,283,-3.270762416336835,2.134569750998498,-1.136192665338337,-7.953043461070896,1.518192474079908,-6.434850986990988,-4.473118108640094,2.138495961458062,-2.334622147182032,.0600244955927058,.0600244955927058,0,-3.987377630350041,.961439033833868,-3.025938596516173,.0833396779112745
Zach LaVine,lavinza01,2021,RS,CHI,4294,2034,3.816000692238532,-1.371998493252074,2.444002198986458,3.281092217291872,-2.148887933055897,1.132204284235975,3.929599569490719,-1.613701554382392,2.315898015108327,5.321057903749348,5.321057903749348,0,4.312377682746478,-1.690984364208908,2.62139331853757,1.228099779240203
Jake Layman,laymaja01,2021,RS,MIN,1360,627,-3.255363774957847,.2208710735696855,-3.034492701388162,-6.041442828049657,2.561334301850988,-3.48010852619867,-4.006892929834647,.7676214742623606,-3.239271455572287,-.1570789903802191,-.1570789903802191,0,-3.336625064131864,.1438835552289752,-3.192741508902889,.3634152259206182
T.J. Leaf,leaftj01,2021,PO,POR,15,7,16.67785612775705,4.367043551965566,21.04489967972262,13.27230483455306,-2.739812809927876,10.53249202462519,16.81403167936391,3.201253949250871,20.01528562861478,.0837260436514243,0,.0837260436514243,8.658894740127849,-3.025516582739093,5.633378157388756,-.1492647977399293
T.J. Leaf,leaftj01,2021,RS,POR,84,35,-4.066610038943841,4.963187823825351,.8965777848815097,-12.66245767654065,3.185249128528547,-9.477208548012106,-6.243026895186873,4.865544345874921,-1.377482549311952,.0247585816478537,.0247585816478537,0,-5.466645093646489,1.411387890175704,-4.055257203470785,1.028084706053688
Jalen Lecque,lecquja01,2021,RS,IND,27,12,6.077023450037562,3.756717937952157,9.83374138798972,-17.44737733371549,5.403956022763863,-12.04342131095163,1.55421091746314,4.381090356761631,5.935301274224771,.0510184677656485,.0510184677656485,0,-.8891809602252303,2.509506027612056,1.620325067386826,-4.094928411535045
Damion Lee,leeda03,2021,RS,GSW,2320,1079,.1067108507332025,1.361178525092046,1.467889375825248,-.125248921214798,-.4579875022892095,-.5832364235040075,.0809102733465468,1.042096535406811,1.123006808753358,2.123943025921283,2.123943025921283,0,-.1637265443005894,1.27368850331868,1.109961959018091,-.3869141296786249
